NAME,SIZE,LOCATION_HQ,INDUSTRY,RATING_OVERALL,RATING_DI,RATING_CV,RATING_WL,RATING_SM,RATING_CB,RATING_CO,NUM_REVIEWS,DESCRIPTION,MISSION
Huron Consulting Group,1001 to 5000 Employees,"Chicago, IL",Consulting,4.1,4.0,4.2,3.9,3.8,3.9,3.8,See All 950 Reviews,"Huron is a global consultancy that helps our clients drive growth, enhance performance and sustain leadership in the markets they serve. We partner with them to develop strategies and implement solutions that enable the transformative change our clients need to own their future.

Our mission is to enable organizations to improve fundamental performance, reinvent their business, generate new growth platforms and lead their people through transformational change.",N/A
Walt Disney Company,10000+ Employees,"Burbank, CA",Motion Picture Production & Distribution,4.1,4.3,4.2,3.6,3.5,3.9,3.7,"See All 7,415 Reviews","The monarch of this magic kingdom is no man but a mouse -- Mickey Mouse. The Walt Disney Company is the world's largest media conglomerate, with assets encompassing movies, television, publishing, and theme parks. Its Disney/ABC Television Group includes the ABC television network and 10 broadcast stations, as well as a portfolio of cable networks including ABC Family, Disney Channel, and ESPN (80%-owned). Walt Disney Studios produces films through imprints Walt Disney Pictures, Disney Animation, and Pixar, and its Marvel Entertainment is a top comic book publisher and film producer. In addition, Walt Disney Parks and Resorts operates the company's popular theme parks including Walt Disney World and Disneyland.",N/A
ServiceNow,10000+ Employees,"Santa Clara, CA",Enterprise Software & Network Solutions,4.1,4.4,4.1,3.8,3.9,4.2,3.9,"See All 1,322 Reviews","At ServiceNow, we make the world of work, work better for people. We deliver digital workflows that create great experiences and unlock productivity.

With 6,900+ customers, we serve ~80% of the Fortune 500. And we are #1 on the 2020 list of FORTUNE® Future 50. This is the future of work.

Explore your future career with us, visit www.servicenow.com/careers.",N/A
"Universal Studios
Part of NBCUniversal",10000+ Employees,"Universal City, CA",Motion Picture Production & Distribution,4.1,4.4,4.0,3.7,3.4,4.0,3.7,"See All 1,163 Reviews","Movies and theme parks are the center of Universal Studios' universe. The company's Universal Pictures produces and distributes mainstream movies ( Bridesmaids ), while its Focus Features produces smaller films ( Hanna ). Universal Studios also operates theme parks such as Universal Studios Hollywood and Universal Studios Orlando through Universal Parks & Resorts . Its Universal Studios Home Entertainment unit handles the marketing and distribution of DVDs from its 4,000-film library. Universal Studios operates as part of NBCUniversal (NBCU).",N/A
"Experian
Hiring Surge",10000+ Employees,"Dublin, Ireland",Financial Analytics & Research,4.1,4.3,4.2,3.9,3.8,4.0,3.8,"See All 3,427 Reviews","Experian is the leading global information services company, providing data and analytical tools to our clients around the world. Data has the potential to transform lives and create a better tomorrow. We are transforming data into something meaningful: helping businesses to manage credit risk, preventing fraud, targeting marketing offers and automating decision making. We have been named one of the “World’s Most Innovative Companies” by Forbes for 3 years in a row. Experian has operated at the center of Big Data since before the phrase was coined. Few companies can offer information services on an equivalent scale. Experian is a constituent of the United Kingdom's FTSE 100 index, with total revenue for the year ended March 31, 2016, of US $4.6 billion. We support clients in more than 80 countries and employ approximately 17,000 people in 37 countries.","Mission: We help to give our customers the power to assess, predict and to plan so you may achieve your goals and navigate your world with confidence. Our expertise in data, analytics and technologies, means we give answers, we create coherence and clarity from complexity.

We believe data has the power to transform lives and societies for the better."
Thomson Reuters,10000+ Employees,"Toronto, Canada",Enterprise Software & Network Solutions,4.1,4.3,4.2,4.2,3.6,4.0,3.7,"See All 10,531 Reviews","We are reinventing the way professionals work.

Thomson Reuters is the most trusted provider of essential news, information and tools to the professionals who make the world work.

Our customers operate in complex arenas that move society forward – tax, law, compliance, government, media. In a disruptive digital age, we help professionals reinvent themselves.

We do this by combining deep understanding of their industries with expertly curated information and tailored technology. This raises their productivity, liberating them from routine tasks and creating more time to focus on the things that matter most: advising, advocating, negotiating, governing and informing.

At a time when the virtues of objectivity, accuracy, fairness and transparency are under attack, we consider it our duty to pursue them – just as we have for more than 100 years.

Bring your passion and discover opportunity on a global scale. Build a career without boundaries. Do work that matters, with the flexibility to pursue your passion wherever it leads. Bring your ambition to make a difference. We’ll bring a world of opportunities.",N/A
BlackRock,10000+ Employees,"New York, NY",Investment Banking & Asset Management,4.1,4.4,4.2,3.8,3.9,3.7,4.0,"See All 3,068 Reviews","BlackRock’s purpose is to help more and more people experience financial well-being. As a fiduciary to investors and a leading provider of financial technology, our clients turn to us for the solutions they need when planning for their most important goals. As of March 31, 2020, the firm managed approximately $6.47 trillion in assets on behalf of investors worldwide.","Mission: BlackRock’s mission is to create a better financial future for our clients. As we pursue this mission, our guide is our BlackRock culture and principles—that is, our shared understanding of who we are, what we stand for and how we will conduct ourselves each and every day.

For additional information on career opportunities at BlackRock, please visit careers.blackrock.com"
BlackRock,10000+ Employees,"New York, NY",Investment Banking & Asset Management,4.1,4.4,4.2,3.8,3.9,3.7,4.0,"See All 3,069 Reviews","BlackRock’s purpose is to help more and more people experience financial well-being. As a fiduciary to investors and a leading provider of financial technology, our clients turn to us for the solutions they need when planning for their most important goals. As of March 31, 2020, the firm managed approximately $6.47 trillion in assets on behalf of investors worldwide.","Mission: BlackRock’s mission is to create a better financial future for our clients. As we pursue this mission, our guide is our BlackRock culture and principles—that is, our shared understanding of who we are, what we stand for and how we will conduct ourselves each and every day.

For additional information on career opportunities at BlackRock, please visit careers.blackrock.com"
"Yahoo
Part of Verizon",5001 to 10000 Employees,"Sunnyvale, 061",Internet,4.1,4.1,4.0,4.2,3.5,3.8,3.8,"See All 3,945 Reviews","Yahoo! wants to spread some cheer to Internet users around the world. Its network of websites offers news, entertainment, and shopping, as well as search results powered by Microsoft's Bing offering. Yahoo! generates most of its revenue through providing search and display advertising to Web operations in three categories: Communications & Communities (including Yahoo! Mail, Yahoo! Messenger, Yahoo! Groups, and Flickr), Search and Marketplaces (Yahoo! Search), and Media (Yahoo! Homepage, Yahoo! Finance, and Yahoo! Sports). Other revenues come from fee-based services such as premium e-mail; royalties, licenses, and mobile products; and broadband Internet access. Yahoo! publishes content in about 25 languages.",N/A
Shell,10000+ Employees,"The Hague, Netherlands",Oil & Gas Exploration & Production,4.1,4.1,4.0,3.9,3.5,4.0,3.7,"See All 7,073 Reviews","We are a global group of energy and petrochemical companies located in more than 70 countries and territories. We use advanced technologies and innovative approaches to help build a sustainable energy future. Our operations are divided into Upstream, Integrated Gas and New Energies, Downstream, and Projects & Technology.

Our strategy to generate profitable growth remains to drive forward with our investment program, to deliver sustainable growth and provide competitive returns to shareholders, while helping to meet global energy demand in a responsible way.

Our goal is to find solutions that truly make a difference and change how we produce energy. We want to power lives by providing the world more energy, but with less CO2 emissions.

Our core values of honesty, integrity and respect for people form the basis of the Shell General Business Principles. Discover more at http://www.shell.com/us/about/","Mission: The objectives of the Shell group are to engage efficiently, responsibly and profitably in oil, oil products, gas, chemicals and other selected businesses, and to participate in the search for and development of other sources of energy to meet evolving customer needs and the world’s growing demand for energy.

Our role is to ensure that we extract oil and gas and deliver them profitably and in environmentally and socially responsible ways."
