NAME,SIZE,LOCATION_HQ,INDUSTRY,RATING_OVERALL,RATING_DI,RATING_CV,RATING_WL,RATING_SM,RATING_CB,RATING_CO,NUM_REVIEWS,DESCRIPTION,MISSION
"Zaxby's
Hiring Surge",51 to 200 Employees,"Athens, GA",Fast-Food & Quick-Service Restaurants,3.5,3.8,3.4,3.2,3.1,2.8,3.1,"See All 1,344 Reviews","You might say this company is all about zee chicken. Zaxby's Franchising operates and franchises more than 490 fast-casual Zaxby's chicken restaurants in about a dozen southern states, mostly in Georgia. Its kitschy, memorabilia-themed restaurants offer creatively named chicken dishes, such as Chicken Fingerz, Zalads, Big Zax Snak Meal, Zappetizers, and Buffalo Fingerz with Zax sauce. The chain also serves chicken with other types of sauces named for their spiciness threshold, from Wimpy to Nuclear to Insane. About 70 locations are company-owned, while the rest are franchised. CEO Zach McLeroy and CFO Tony Townley started the chain in 1990.",N/A
PamTen,51 to 200 Employees,"Princeton, NJ",IT Services,4.9,5.0,4.9,4.9,4.9,4.7,4.9,See All 95 Reviews,"PamTen, Inc. is a software technology company with its focus on web applications, development, and high end software consulting. PamTen is managed by experienced IT professionals with diverse skills sets who have extensive experience in pharmaceutical, financial, telecom, Insurance, and manufacturing industries. It strives to become a single-source solution provider to businesses looking to incorporate internet technologies and related solutions into their overall corporate strategy.

- 10 Years and Growing

Our Specialization:
ConnectProGlobal - A professional Event Management System
Custom Application Development
Provide Cybersecurity Services
Strategized Staffing Engagements
Our Clients:
Depository Trust & Clearing Corporation
KPMG
AVON
McGrawHill
Honeywell
Girl Scouts, New York
SIGMA Corporation
Cox Automative","Mission: To become the most reliable technology services company to our customers by being a trusted partner, and the most aspiring workplace to our employees by providing a rewarding career, driven by our passion to improve the lives of destitute children. For more details please visit http://www.sofkin.org/"
Next Century,51 to 200 Employees,"Annapolis Junction, MD",Computer Hardware & Software,4.9,4.0,5.0,4.9,4.9,4.8,4.7,See All 99 Reviews,"Next Century, a wholly owned subsidiary of CACI, is a technology company focused on the development of a new class of solutions that include situational awareness, at-a-glance analysis, decision support, collaboration, and others to provide information to decision makers in ways that are highly intuitive and actionable. We rely heavily on our expertise in the key areas of geographic information systems (GIS), image exploitation, mobile computing, wireless networks, visualization, and user interface design to develop these solutions. Our business focuses on the industries of healthcare, national security, and corporate security with particular specialization in homeland security, the military, and intelligence.

Common technologies we use:
- Java, Swing, Unit testing, OpenGL, Spring, Groovy, Maven, Hudson/Jenkins, GIS applications, NoSQL, Mongo DB, and AngularJS, Hadoop, Cloud, .NET, ASP, C#, AJAX, Websockets, Vert.x, RabbitMQ, Python, SOLR, Apache tomcat, AVN, ANT, MVC, Active Directory, LDAP,",N/A
Achieve Today,51 to 200 Employees,"Orem, UT",Education Training Services,4.9,5.0,4.9,4.7,4.9,4.5,4.7,See All 196 Reviews,N/A,N/A
"Zaxby's
Hiring Surge",51 to 200 Employees,"Athens, GA",Fast-Food & Quick-Service Restaurants,3.5,3.8,3.4,3.2,3.1,2.8,3.1,"See All 1,344 Reviews","You might say this company is all about zee chicken. Zaxby's Franchising operates and franchises more than 490 fast-casual Zaxby's chicken restaurants in about a dozen southern states, mostly in Georgia. Its kitschy, memorabilia-themed restaurants offer creatively named chicken dishes, such as Chicken Fingerz, Zalads, Big Zax Snak Meal, Zappetizers, and Buffalo Fingerz with Zax sauce. The chain also serves chicken with other types of sauces named for their spiciness threshold, from Wimpy to Nuclear to Insane. About 70 locations are company-owned, while the rest are franchised. CEO Zach McLeroy and CFO Tony Townley started the chain in 1990.",N/A
PamTen,51 to 200 Employees,"Princeton, NJ",IT Services,4.9,5.0,4.9,4.9,4.9,4.7,4.9,See All 95 Reviews,"PamTen, Inc. is a software technology company with its focus on web applications, development, and high end software consulting. PamTen is managed by experienced IT professionals with diverse skills sets who have extensive experience in pharmaceutical, financial, telecom, Insurance, and manufacturing industries. It strives to become a single-source solution provider to businesses looking to incorporate internet technologies and related solutions into their overall corporate strategy.

- 10 Years and Growing

Our Specialization:
ConnectProGlobal - A professional Event Management System
Custom Application Development
Provide Cybersecurity Services
Strategized Staffing Engagements
Our Clients:
Depository Trust & Clearing Corporation
KPMG
AVON
McGrawHill
Honeywell
Girl Scouts, New York
SIGMA Corporation
Cox Automative","Mission: To become the most reliable technology services company to our customers by being a trusted partner, and the most aspiring workplace to our employees by providing a rewarding career, driven by our passion to improve the lives of destitute children. For more details please visit http://www.sofkin.org/"
Next Century,51 to 200 Employees,"Annapolis Junction, MD",Computer Hardware & Software,4.9,4.0,5.0,4.9,4.9,4.8,4.7,See All 99 Reviews,"Next Century, a wholly owned subsidiary of CACI, is a technology company focused on the development of a new class of solutions that include situational awareness, at-a-glance analysis, decision support, collaboration, and others to provide information to decision makers in ways that are highly intuitive and actionable. We rely heavily on our expertise in the key areas of geographic information systems (GIS), image exploitation, mobile computing, wireless networks, visualization, and user interface design to develop these solutions. Our business focuses on the industries of healthcare, national security, and corporate security with particular specialization in homeland security, the military, and intelligence.

Common technologies we use:
- Java, Swing, Unit testing, OpenGL, Spring, Groovy, Maven, Hudson/Jenkins, GIS applications, NoSQL, Mongo DB, and AngularJS, Hadoop, Cloud, .NET, ASP, C#, AJAX, Websockets, Vert.x, RabbitMQ, Python, SOLR, Apache tomcat, AVN, ANT, MVC, Active Directory, LDAP,",N/A
Achieve Today,51 to 200 Employees,"Orem, UT",Education Training Services,4.9,5.0,4.9,4.7,4.9,4.5,4.7,See All 196 Reviews,N/A,N/A
Google,10000+ Employees,"Mountain View, CA",Internet,4.5,4.4,4.4,4.3,4.1,4.5,4.3,"See All 18,576 Reviews","Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards.

Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit careers.google.com.",N/A
Microsoft,10000+ Employees,"Redmond, WA",Computer Hardware & Software,4.4,4.4,4.4,4.1,4.0,4.1,4.1,"See All 29,571 Reviews","Our drive to change the world unites us!

Microsoft is the ideal place for people who have passion for their work and the desire to make an impact—in their careers, in the community and on the world. Microsoft is a unique company; and not just within the tech industry. Here, smart people thrive on their own terms and push their intelligence to its limit. The variety of job opportunities and career advancement at Microsoft is incredible and empowers you to constantly challenge yourself and chart your own course.",N/A
