NAME,SIZE,LOCATION_HQ,INDUSTRY,RATING_OVERALL,RATING_DI,RATING_CV,RATING_WL,RATING_SM,RATING_CB,RATING_CO,NUM_REVIEWS,DESCRIPTION,MISSION
Torchy's Tacos,1001 to 5000 Employees,"Austin, TX",Casual Restaurants,3.9,4.6,4.1,3.7,3.4,3.3,3.5,See All 199 Reviews,"The Torchy's legacy began in Austin, Texas in 2006 with an idea, a dedicated executive chef and a food trailer to now operating in dozens of locations across multiple states. OUR MISSION: Be Damn Good. OUR VISION:
Serve people the best damn tacos. OUR WHY: Passion. OUR MOTTO: Devil is in the details.",N/A
Loma Linda University Health,10000+ Employees,"Loma Linda, CA",Health Care Services & Hospitals,3.8,3.6,3.8,3.6,3.0,3.3,3.5,See All 440 Reviews,"Loma Linda University Medical Center (LLUMC) operates some of the largest clinical programs in the United States in areas such as neonatal care and outpatient surgery and is recognized as the international leader in infant heart transplantation and proton treatments for cancer. Each year, the institution admits more than 33,000 inpatients and serves roughly half a million outpatients. LLUMC is the only level one regional trauma center for Inyo, Mono, Riverside, and San Bernardino counties.",N/A
F5,5001 to 10000 Employees,"Seattle, WA",Computer Hardware & Software,3.9,4.2,4.0,4.0,3.6,4.2,3.6,"See All 1,002 Reviews","Today, business is about people, applications, and the services they need to work more efficiently. F5, a global company entrusted by more than 16,000 of the world’s largest enterprises and government, develops technology solutions that keep applications running smoothly. F5 products are highly programmable and integrate into any data environment, expanding IT capabilities so that software networking defined (SDN) deployments are seamless and scalable. As our digital world becomes more complex, F5 is there, ready with innovative technology that resolves application performance and security challenges of today’s mobile workforce.

**Phishing alert**
Please note that F5 only contacts candidates through F5 email address (ending with @f5.com) or auto email notification from Yello/Workday (ending with f5.com or @myworkday.com).","Mission: F5 (NASDAQ: FFIV) gives the world’s largest businesses, service providers, governments, and consumer brands the freedom to securely deliver every app, anywhere—with confidence. F5 delivers cloud and security application services that enable organizations to embrace the infrastructure they choose without sacrificing speed and control. For more information, go to f5.com. You can also follow @f5networks on Twitter or visit us on LinkedIn and Facebook for more information about F5, its partners, and technologies.
F5 and NGINX are trademarks and service marks of F5 Networks, Inc., in the U.S. and other countries. All other product and company names herein may be trademarks of their respective owners."
"Oakley
Part of Luxottica",1001 to 5000 Employees,"Foothill Ranch, CA",Consumer Products Manufacturing,3.9,4.1,4.0,3.9,3.4,3.4,2.8,See All 713 Reviews,"Oakley sells so many sunglasses, it goggles the mind. The company makes and sells performance sunglasses and ski goggles for sports and fashion enthusiasts. Oakley is known for its lens technologies, including 3D, and especially for its High-Definition Optics. The brand boasts a retail network of more than 160 Oakley ""O"" and Vaults stores in malls throughout the US, and in Europe, Mexico, and Asia-Pacific region. It also sells its wares online and at Dillard's, Sunglass Hut, sporting goods stores and other specialty retail outlets. Oakley also markets a line of apparel and footwear, as well as backpacks and accessories for sports enthusiasts. Founded in 1975, Oakley is owned by Italian eyewear giant Luxottica.",N/A
St. Dominic's,1001 to 5000 Employees,"Jackson, MS",Health Care Services & Hospitals,4.0,4.5,4.1,3.5,3.3,3.5,3.4,See All 126 Reviews,"Since 1946, when the Dominican Sisters operated the Jackson Infirmary, to St. Dominic's burgeoning reputation as a premier healthcare organization, the human factor has been a vital part of St. Dominic's mission. Our Christian healing ministry goes hand in hand with the latest medical advancements to produce a level of care that addresses the specific needs of each patient, from the physical to the spiritual.","Mission: St. Dominic’s recognizes its basic participation in the mission of the Church, which involves two main ministries: Education and Health Care. Three activities: Communicating a Christian message, Establishing Community and Performing Service express our mission of Christian healing."
"Janie and Jack
Part of Gap Inc.",1001 to 5000 Employees,"San Francisco, CA","Department, Clothing, & Shoe Stores",3.8,4.3,3.7,4.3,3.6,3.4,3.2,See All 111 Reviews,"Iconic. Approachable. Connected. These are some of the ideas that guide our every day at Janie and Jack. We set ourselves apart with outstanding quality and great care to every detail, from our clothing to our customer service to the people we work with. Are you ready to be a part of the Janie and Jack story?",N/A
"Egencia
Part of Expedia Group",1001 to 5000 Employees,"Bellevue, WA",Travel Agencies,3.9,4.3,4.1,4.2,3.2,4.1,3.5,See All 264 Reviews,"Egencia makes every business trip count for travelers and travel managers. The travel management company’s industry-leading technology platform simplifies the process of planning, booking and managing business travel. Relying on timely, data-driven insights from Egencia, businesses stay one step ahead by making choices that align with traveler preference and corporate policy. A dedicated team of travel consultants is ready to assist every step of the way, whenever and wherever needed. Egencia serves small, mid-cap and multi-national companies in more than 65 countries. To connect with Egencia, visit egencia.com or @Egencia. Follow along on our blog (https://www.egencia.com/public/us/category/blog).",N/A
"Nimble Storage
Acquired by Hewlett Packard Enterprise | HPE",1001 to 5000 Employees,"San Jose, CA",Computer Hardware & Software,3.9,N/A,3.8,3.8,3.6,3.9,3.5,See All 177 Reviews,"Nimble Storage is the technology leader in flash storage solutions.

Our Promise Is the Power of One: A Single Storage Architecture and Application Consolidation Platform

Most storage architectures were engineered to deliver just a single functional benefit: high performance or high capacity.

The Nimble Storage Adaptive Flash platform is transforming this land of storage silos. Enterprises can use a single architectural approach to cater dynamically to varying workloads’ needs for performance and capacity, as well as data protection.

Only Nimble offers the Power of One: gain the benefits of consolidation, without compromising the ability to deliver the service levels required for specific workloads.

IT organizations that use the Nimble Storage Adaptive Flash platform can predict, manage, and deliver the storage that is required to optimize applications and workloads across the enterprise.",N/A
Google,10000+ Employees,"Mountain View, CA",Internet,4.5,4.4,4.4,4.3,4.1,4.5,4.3,"See All 18,391 Reviews","Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards.

Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit careers.google.com.",N/A
Microsoft,10000+ Employees,"Redmond, WA",Computer Hardware & Software,4.4,4.4,4.4,4.1,4.0,4.1,4.1,"See All 29,406 Reviews","Our drive to change the world unites us!

Microsoft is the ideal place for people who have passion for their work and the desire to make an impact—in their careers, in the community and on the world. Microsoft is a unique company; and not just within the tech industry. Here, smart people thrive on their own terms and push their intelligence to its limit. The variety of job opportunities and career advancement at Microsoft is incredible and empowers you to constantly challenge yourself and chart your own course.",N/A
