NAME,SIZE,LOCATION_HQ,INDUSTRY,RATING_OVERALL,RATING_DI,RATING_CV,RATING_WL,RATING_SM,RATING_CB,RATING_CO,NUM_REVIEWS,DESCRIPTION,MISSION
"Rockstar Games
Part of Take-Two",1001 to 5000 Employees,"New York, NY",Video Games,4.3,4.7,4.4,4.0,4.0,4.3,3.9,See All 236 Reviews,"Rockstar Games doesn't see why only the kids should have all the video game fun. The company, a subsidiary of Take-Two Interactive Software, is a publisher of mature-rated video games including the hugely popular Grand Theft Auto series. Other series titles from the game studio include Midnight Club, Red Dead, Manhunt, and Max Payne. Rockstar Games' titles are available for major gaming platforms, including Sony's Playstation, Microsoft's Xbox, and Nintendo's Wii, as well as for PCs and portable devices such as the Playstation Portable and Nintendo DS. Parent Take-Two does over half of its business in the US; Europe and the Asia Pacific region are its other key markets.",N/A
National Renewable Energy Lab,1001 to 5000 Employees,"Golden, CO",Energy,4.3,4.6,4.5,4.3,4.0,4.1,4.1,See All 370 Reviews,"The National Renewable Energy Laboratory (NREL) is the U.S. Department of Energy's primary national laboratory for renewable energy and energy efficiency research and development.

NREL develops renewable energy and energy efficiency technologies and practices, advances related science and engineering, and transfers knowledge and innovations to address the nation's energy and environmental goals.","Mission: Our emphasis is on a comprehensive energy approach that encompasses the relationship among key systems:

Fuel production
Transportation
The built environment
Electricity generation and delivery.

Our systems integration approach will accelerate the transformation of our nation's energy use and delivery systems.

Our focus is on a clean energy future."
FirstLight Home Care,1001 to 5000 Employees,"Cincinnati, OH",Health Care Services & Hospitals,4.3,4.0,4.3,4.1,4.2,3.7,4.0,See All 251 Reviews,"FirstLight Home Care is a leading provider of non-medical home care, helping individuals in more than 30 states achieve the quality of life they deserve. The company has set a new standard in home care by creating an unmatched Culture of Care that drives industry-leading client and employee satisfaction.

FirstLight is a lifeline not only for seniors but for people recovering from illness, injury or surgery; adults with disabilities; new and busy mothers; veterans; and anyone over the age of 18 who needs extra assistance. Care can be provided at private residences, as well as independent and assisted living communities. Visit www.FirstLightHomeCare.com for information on our Companion, Personal, Dementia, Respite and Veteran Care services.","Mission: The FirstLight Home Care mission is rooted in our Culture of Care, which defines us as caregivers and leads us to play a significant role in our clients' families. We foster healthy relationships for life. We anticipate the needs of those we serve. We are empowered to create a unique, healthy and comfortable environment. We foster teamwork and collaboration. We constantly strive to learn and grow. And we consider ourselves - we expect ourselves - to be so much more than caregivers."
ManTech,5001 to 10000 Employees,"Herndon, VA",Research & Development,4.3,4.3,4.2,4.3,4.1,4.3,4.2,"See All 1,005 Reviews","ManTech was founded in 1968 to provide advanced technological services to the U.S. Government. We began with a single Navy contract to develop war-gaming models for the submarine community. Over the years, our government's technology needs have increased dramatically in scope and sophistication, and we have grown to meet that challenge.

For 5 decades, we kept a careful eye on where emerging technologies were taking the government, and we developed the resources to master those technologies—by staying close to our customers and anticipating their needs, hiring more than 9,000 talented professionals to propel us into the future, and acquiring companies with proven capabilities.

Today, we are a multibillion-dollar public company that provides the innovation, adaptability and critical thinking our government needs for success in defense, intelligence, law enforcement, science, administration, health and other fields—throughout the nation and in many countries around the world. We are now applying the lessons learned in the unforgiving arena of national security to help the private sector protect networks and critical information.",N/A
MedVet,1001 to 5000 Employees,"Worthington, OH",Veterinary Services,4.3,4.2,4.3,3.7,4.1,4.2,4.2,See All 214 Reviews,"MedVet, with headquarters in Columbus, Ohio, is a widely recognized and growing group of emergency and specialty referral veterinary hospitals for companion animals in 15 states.

MedVet, whose mission is leading specialty healthcare for pets, is employee owned and veterinary led. MedVet provides specialty referral services for in-depth patient care, as well as emergency services 24 hours a day, 365 days a year. More than 250,000 pets are treated annually at MedVet’s expanding network of medical centers across the country.

MedVet hospitals were named the American Animal Hospital Association (AAHA) Accredited Referral Practice of the Year in 2014 and 2016, the only group of practices to receive this award twice. For more information on MedVet’s network of medical centers, visit www.medvet.com",N/A
Infineon Technologies,10000+ Employees,"Neubiberg, Germany",Electrical & Electronic Manufacturing,4.2,4.0,4.1,4.0,3.7,3.8,3.7,"See All 1,458 Reviews","Infineon Technologies focuses on the three central challenges facing modern society: Energy Efficiency, Mobility and Security and offers semiconductors and system solutions for automotive and industrial electronics and chip card and security applications.
Infineon’s products stand out for their reliability, their quality excellence and their innovative and leading-edge technology in analog and mixed signal, RF and power as well as embedded control.

With a global presence, Infineon operates through its subsidiaries in the USA from Milpitas, California, in the Asia-Pacific region from Singapore, and in Japan from Tokyo.",N/A
University of Northern Iowa,1001 to 5000 Employees,"Cedar Falls, IA",Colleges & Universities,4.2,2.8,3.6,3.8,3.0,3.5,3.3,See All 115 Reviews,"University of Northern Iowa (UNI) offers more than 120 undergraduate majors and about a dozen graduate and doctoral degree programs to some 13,000 students (about 90% of which are Iowa residents). The school is comprised of five undergraduate colleges (business administration, education, humanities and fine arts, natural sciences, and social and behavioral sciences) and one graduate college consisting of about 40 academic departments. UNI was founded as Iowa State Normal School in 1876. Notable alumni include US Senator Charles Grassley and NFL quarterback Kurt Warner.",N/A
"Wyeth
Acquired by Pfizer",10000+ Employees,"Madison, NJ",Biotech & Pharmaceuticals,4.2,2.0,4.2,3.8,3.7,4.2,3.4,See All 236 Reviews,"Wyeth is wise in the ways of health care. Operating in three segments, the company's largest unit is its Pharmaceuticals business, which sells antidepressant Effexor, arthritis drug Enbrel (with partner Amgen), and vaccine Prevnar, as well as anti-infectives, nutrition and women's health products, gastroenterology drugs, and treatments for hemophilia and cardiovascular conditions. Its Consumer Healthcare unit produces such familiar over-the-counter brands as Advil, Centrum, Robitussin, and ChapStick. Subsidiary Fort Dodge Animal Health makes products for livestock and pets, including vaccines and parasite control products. Wyeth has agreed to be acquired by top drugmaker Pfizer for $68 billion.",N/A
St. Elizabeth Healthcare,5001 to 10000 Employees,"Edgewood, KY",Health Care Services & Hospitals,4.2,4.2,4.2,4.1,3.9,4.0,4.1,See All 208 Reviews,"St. Elizabeth Healthcare is one of the oldest, largest and most respected medical providers in the Greater Cincinnati region. For more than 155 years, St. Elizabeth has been the heart and soul of healthcare in Northern Kentucky. Founded with one small hospital in 1861, St. Elizabeth Healthcare now operates five facilities throughout Northern Kentucky and more than 115 primary care and specialty office locations in Kentucky, Indiana and Ohio. St. Elizabeth is sponsored by the Diocese of Covington and is a member of the Mayo Clinic Care Network. St. Elizabeth is a mission-based organization committed to improving the health of the communities it serves, providing more than $117 million in uncompensated care and benefit to the community in 2017.","Mission: Our mission is to provide comprehensive and compassionate care that improves the health of the people we serve. We accomplish this through state-of the-art technology and our dedicated associates, led by a well-respected board and executive leadership team who love this organization and our community."
Globant,10000+ Employees,"Buenos Aires, Argentina",IT Services,4.2,4.7,4.4,4.3,4.0,3.7,4.1,"See All 2,223 Reviews","We are a digitally native company where innovation, design and engineering meet scale. We use the latest technologies in the digital and cognitive field to transform organizations in every aspect.

We have more than 12,500 employees and we are present in 16 countries working for companies like Google, Rockwell Automation, Electronic Arts and Santander, among others. We were named a Worldwide Leader of Digital Strategy Consulting Services by IDC MarketScape report. We were also featured as a business case study at Harvard, MIT, and Stanford.",N/A
